drugpair,label
"('Compound::DB12001', 'Compound::DB01118')",1
"('Compound::DB12001', 'Compound::DB00673')",2
"('Compound::DB12001', 'Compound::DB00289')",0
"('Compound::DB12001', 'Compound::DB00188')",0
"('Compound::DB12001', 'Compound::DB00559')",3
"('Compound::DB12001', 'Compound::DB06616')",2
"('Compound::DB12001', 'Compound::DB00564')",3
"('Compound::DB12001', 'Compound::DB09063')",1
"('Compound::DB12001', 'Compound::DB01211')",1
"('Compound::DB12001', 'Compound::DB00283')",0
"('Compound::DB12001', 'Compound::DB00257')",0
"('Compound::DB12001', 'Compound::DB01394')",2
"('Compound::DB12001', 'Compound::DB00872')",2
"('Compound::DB12001', 'Compound::DB08865')",0
"('Compound::DB12001', 'Compound::DB00091')",0
"('Compound::DB12001', 'Compound::DB06695')",12
"('Compound::DB08912', 'Compound::DB12001')",3
"('Compound::DB01254', 'Compound::DB12001')",2
"('Compound::DB00320', 'Compound::DB12001')",0
"('Compound::DB00343', 'Compound::DB12001')",0
"('Compound::DB00997', 'Compound::DB12001')",2
"('Compound::DB00254', 'Compound::DB12001')",0
"('Compound::DB04855', 'Compound::DB12001')",0
"('Compound::DB06210', 'Compound::DB12001')",2
"('Compound::DB08899', 'Compound::DB12001')",3
"('Compound::DB00199', 'Compound::DB12001')",0
"('Compound::DB01590', 'Compound::DB12001')",2
"('Compound::DB00176', 'Compound::DB12001')",0
"('Compound::DB01320', 'Compound::DB12001')",3
"('Compound::DB00619', 'Compound::DB12001')",0
"('Compound::DB11633', 'Compound::DB12001')",2
"('Compound::DB00270', 'Compound::DB12001')",0
"('Compound::DB01167', 'Compound::DB12001')",1
"('Compound::DB08820', 'Compound::DB12001')",2
"('Compound::DB01026', 'Compound::DB12001')",2
"('Compound::DB00227', 'Compound::DB12001')",0
"('Compound::DB09280', 'Compound::DB12001')",3
"('Compound::DB06595', 'Compound::DB12001')",3
"('Compound::DB00834', 'Compound::DB12001')",2
"('Compound::DB00648', 'Compound::DB12001')",3
"('Compound::DB09049', 'Compound::DB12001')",2
"('Compound::DB01149', 'Compound::DB12001')",1
"('Compound::DB09048', 'Compound::DB12001')",2
"('Compound::DB06736', 'Compound::DB05812')",0
"('Compound::DB01418', 'Compound::DB05812')",2
"('Compound::DB00316', 'Compound::DB05812')",2
"('Compound::DB03128', 'Compound::DB05812')",2
"('Compound::DB00945', 'Compound::DB05812')",2
"('Compound::DB00546', 'Compound::DB05812')",0
"('Compound::DB06594', 'Compound::DB05812')",2
"('Compound::DB01426', 'Compound::DB05812')",2
"('Compound::DB00518', 'Compound::DB05812')",2
"('Compound::DB00918', 'Compound::DB05812')",2
"('Compound::DB06203', 'Compound::DB05812')",2
"('Compound::DB00969', 'Compound::DB05812')",2
"('Compound::DB00866', 'Compound::DB05812')",2
"('Compound::DB06403', 'Compound::DB05812')",0
"('Compound::DB01223', 'Compound::DB05812')",2
"('Compound::DB01118', 'Compound::DB05812')",2
"('Compound::DB00321', 'Compound::DB05812')",2
"('Compound::DB00613', 'Compound::DB05812')",2
"('Compound::DB00543', 'Compound::DB05812')",2
"('Compound::DB00182', 'Compound::DB05812')",2
"('Compound::DB00276', 'Compound::DB05812')",2
"('Compound::DB00261', 'Compound::DB05812')",2
"('Compound::DB01435', 'Compound::DB05812')",2
"('Compound::DB06605', 'Compound::DB05812')",2
"('Compound::DB00673', 'Compound::DB05812')",2
"('Compound::DB01429', 'Compound::DB05812')",2
"('Compound::DB01274', 'Compound::DB05812')",2
"('Compound::DB01238', 'Compound::DB05812')",2
"('Compound::DB06216', 'Compound::DB05812')",2
"('Compound::DB00637', 'Compound::DB05812')",2
"('Compound::DB00289', 'Compound::DB05812')",2
"('Compound::DB01076', 'Compound::DB05812')",2
"('Compound::DB06626', 'Compound::DB05812')",2
"('Compound::DB00972', 'Compound::DB05812')",2
"('Compound::DB00245', 'Compound::DB05812')",2
"('Compound::DB01244', 'Compound::DB05812')",2
"('Compound::DB00195', 'Compound::DB05812')",2
"('Compound::DB00307', 'Compound::DB05812')",0
